PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
Altorientalische Forschungen	0232-8461	2196-6761	1975-06-20		3	2014-12-15	41	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext		De Gruyter (A)	serial								P
Antike und Abendland	0003-5696	1613-0421	1944-01-01		1	2014-11-15		60	https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext		De Gruyter	yearbook								P
Archiv für Papyrusforschung und verwandte Gebiete	0066-6459	1867-1551	1901-01-01	1	1	2014-12-20	60	2	https://www.degruyter.com/openurl?genre=journal&issn=1867-1551		1867-1551		fulltext		De Gruyter	serial								P
Archiv für Religionsgeschichte	1436-3038	1868-8888	1999-01-01		1	2014-11-15		16	https://www.degruyter.com/openurl?genre=journal&issn=1868-8888		1868-8888		fulltext		De Gruyter	yearbook								P
Asiatische Studien - Études Asiatiques	0004-4717	2235-5871	2014-02-28	68	1	2014-11-28	68	4	https://www.degruyter.com/openurl?genre=journal&issn=2235-5871		2235-5871		fulltext		De Gruyter	serial								P
Byzantinische Zeitschrift	0007-7704	1868-9027	1892-01-01	1	1	2014-12-20	107	2	https://www.degruyter.com/openurl?genre=journal&issn=1868-9027		1868-9027		fulltext		De Gruyter	serial								P
Chinese Archaeology	2160-5025	2160-5068	2001-10-10		1	2014-11-20		14	https://www.degruyter.com/openurl?genre=journal&issn=2160-5068		2160-5068		fulltext		De Gruyter	serial								P
Das Mittelalter	0949-0345	2196-6869	1996-06-15	1	1	2014-12-15	19	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6869		2196-6869		fulltext		Akademie Verlag	serial								P
Etruscan and Italic Studies	2566-9095	2566-9109	1994-06-20		1	2014-12-15	17	2	https://www.degruyter.com/openurl?genre=journal&issn=2566-9109		2566-9109		fulltext		De Gruyter	serial								P
Historische Zeitschrift	0018-2613	2196-680X	1859-06-20	1-2	1	2014-12-15	298-299	299/3	https://www.degruyter.com/openurl?genre=journal&issn=2196-680X		2196-680X		fulltext		De Gruyter Oldenbourg	serial								P
Jahrbuch der Göttinger Akademie der Wissenschaften	0373-9767	1868-9191	2008-10-20		1	2014-08-15		4	https://www.degruyter.com/openurl?genre=journal&issn=1868-9191		1868-9191		fulltext		De Gruyter	yearbook								P
Jahrbuch für die Geschichte Mittel- und Ostdeutschlands	0075-2614	2191-9909	2009-01-01		1	2014-11-15		60	https://www.degruyter.com/openurl?genre=journal&issn=2191-9909		2191-9909		fulltext		De Gruyter	yearbook								P
Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook	0075-2800	2196-6842	1960-06-15	1	1	2014-12-15	55	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6842		2196-6842		fulltext		Akademie Verlag	serial								P
Journal of Ancient History	2324-8106	2324-8114	2013-05-20	1	1	2014-09-20	2	2	https://www.degruyter.com/openurl?genre=journal&issn=2324-8114		2324-8114		fulltext		De Gruyter	serial								P
