publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1	2019-12-10	9	3	https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P	JALAW19	current	2022-08-02
AfP	0949-2100	2366-0945	2017-02-20	48	1	2019-12-20	50	6	https://www.degruyter.com/openurl?genre=journal&issn=2366-0945		2366-0945		fulltext		Verlag Dr. Otto Schmidt	serial								P	JALAW19	current	2022-07-29
Asian Journal of Law and Economics	2194-6086	2154-4611	2010-06-20	1	1	2019-12-20	10	3	https://www.degruyter.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Computer und Recht	0179-1990	2194-4172	2005-01-15	21	1	2019-12-15	35	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-4172		2194-4172		fulltext		Verlag Dr. Otto Schmidt	serial								P	JALAW19	current	2022-07-29
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht	1439-1589	1612-7056	1991-01-01	1	1	2019-11-29	29	12	https://www.degruyter.com/openurl?genre=journal&issn=1612-7056		1612-7056		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Die Aktiengesellschaft	0002-3752	2366-097X	2017-01-09	62	1-2	2019-12-20	64	24	https://www.degruyter.com/openurl?genre=journal&issn=2366-097X		2366-097X		fulltext		Verlag Dr. Otto Schmidt	serial								P	JALAW19	current	2022-07-29
European Company and Financial Law Review	1613-2548	1613-2556	2004-03-01	1	1	2019-12-20	16	6	https://www.degruyter.com/openurl?genre=journal&issn=1613-2556		1613-2556		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
European Property Law Journal 	2190-8273	2190-8362	2011-11-20	1	1	2019-12-16	8	3	https://www.degruyter.com/openurl?genre=journal&issn=2190-8362		2190-8362		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
European Review of Contract Law	1614-9920	1614-9939	1967-02-01	1	Jan	2019-12-12	15	4	https://www.degruyter.com/openurl?genre=journal&issn=1614-9939		1614-9939		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
European Tort Law Yearbook 	2190-7773	2190-7781	2009-10-29		2009	2019-09-15		9	https://www.degruyter.com/openurl?genre=journal&issn=2190-7781		2190-7781		fulltext		De Gruyter	yearbook								P	JALAW19	current	2022-07-29
FinanzRundschau	2567-4765	2567-4897	2005-01-05	87	1	2019-12-20	101	24	https://www.degruyter.com/openurl?genre=journal&issn=2567-4897		2567-4897		fulltext		Verlag Dr. Otto Schmidt	serial								P	JALAW19	current	2022-07-29
GesundheitsRecht	1610-1197	2194-4229	2005-01-15	2	1	2019-12-15	18	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-4229		2194-4229		fulltext		Verlag Dr. Otto Schmidt	serial								P	JALAW19	current	2022-07-29
Global Jurist	2194-5675	1934-2640	2001-11-01	1	1	2019-10-15	19	3	https://www.degruyter.com/openurl?genre=journal&issn=1934-2640		1934-2640		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
ICL Journal	2306-3734	1995-5855	2017-03-20	11	1	2019-12-20	13	4	https://www.degruyter.com/openurl?genre=journal&issn=1995-5855		1995-5855		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Internationale SteuerRundschau	2194-539X	2366-116X	2017-01-05	6	1	2019-12-10	8	12	https://www.degruyter.com/openurl?genre=journal&issn=2366-116X		2366-116X		fulltext		Verlag Dr. Otto Schmidt	serial								P	JALAW19	current	2022-07-29
Internationales Handelsrecht	1617-5395	2193-9527	1999-03-24		3	2019-12-15	19	6	https://www.degruyter.com/openurl?genre=journal&issn=2193-9527		2193-9527		fulltext		Verlag Dr. Otto Schmidt	serial								P	JALAW19	current	2022-07-29
Jahrbuch der Juristischen Zeitgeschichte	1869-6899	1869-6902	2010-01-01		11	2019-11-15		20	https://www.degruyter.com/openurl?genre=journal&issn=1869-6902		1869-6902		fulltext		De Gruyter	yearbook								P	JALAW19	current	2022-07-29
Journal der Juristischen Zeitgeschichte	1863-9984	1868-8810	2010-04-01	4	1	2019-09-20	13	3	https://www.degruyter.com/openurl?genre=journal&issn=1868-8810		1868-8810		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Journal of Biosecurity, Biosafety and Biodefense Law	2194-590X	2154-3186	2011-07-15		1	2019-06-15		10	https://www.degruyter.com/openurl?genre=journal&issn=2154-3186		2154-3186		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Journal of European Tort Law	1868-9612	1868-9620	1998-01-01	1	1	2019-12-17	10	3	https://www.degruyter.com/openurl?genre=journal&issn=1868-9620		1868-9620		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Journal of Tort Law	2194-6515	1932-9148	2006-12-01	1	1	2019-10-20	12	2	https://www.degruyter.com/openurl?genre=journal&issn=1932-9148		1932-9148		fulltext		De Gruyter	serial								P	JALAW19	current	2022-08-04
JURA - Juristische Ausbildung	0170-1452	1612-7021	2009-01-01	31	1	2019-11-20	41	12	https://www.degruyter.com/openurl?genre=journal&issn=1612-7021		1612-7021		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Juristische Rundschau	0022-6920	1612-7064	1925-01-01		1	2019-12-19		12	https://www.degruyter.com/openurl?genre=journal&issn=1612-7064		1612-7064		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Law & Ethics of Human Rights	2194-6531	1938-2545	2007-01-01	1	1	2019-11-20	13	2	https://www.degruyter.com/openurl?genre=journal&issn=1938-2545		1938-2545		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Law and Development Review	2194-6523	1943-3867	2008-01-01	1	1	2019-10-20	12	3	https://www.degruyter.com/openurl?genre=journal&issn=1943-3867		1943-3867		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Monatsschrift für Deutsches Recht	0340-1812	2194-4202	2005-01-05	59	1	2019-12-20	73	24	https://www.degruyter.com/openurl?genre=journal&issn=2194-4202		2194-4202		fulltext		Verlag Dr. Otto Schmidt	serial								P	JALAW19	current	2022-07-29
Monatsschrift für Kriminologie und Strafrechtsreform	0026-9301	2366-1968	2000-02-20	83	1	2019-10-20	102	4	https://www.degruyter.com/openurl?genre=journal&issn=2366-1968		2366-1968		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
Muslim World Journal of Human Rights	2194-6558	1554-4419	2004-01-01	1	1	2019-06-15	16	1	https://www.degruyter.com/openurl?genre=journal&issn=1554-4419		1554-4419		fulltext		De Gruyter	serial								P	JALAW19	current	2022-07-29
