publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Biological Chemistry	1431-6730	1437-4315	1878-01-01	1	1	2019-11-20	400	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Botanica Marina	0006-8055	1437-4323	1959-01-01	1	Jan	2019-12-29	62	6	https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Chemical Product and Process Modeling	2194-6159	1934-2659	2006-05-01	1	1	2019-12-30	14	4	https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Chemistry International	0193-6484	1365-2192	1997-06-20	19	4	2019-12-20	41	4	https://www.degruyter.com/openurl?genre=journal&issn=1365-2192		1365-2192		fulltext		De Gruyter	serial								F	JABCG19	current	2022-10-14
Corrosion Reviews	0334-6005	2191-0316	1987-09-01	7	40604	2019-12-20	37	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Helia	1018-1806	2197-0483	2000-06-20	23	33	2019-12-20	42	71	https://www.degruyter.com/openurl?genre=journal&issn=2197-0483		2197-0483		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Holzforschung	0018-3830	1437-434X	1947-01-01	1	1	2019-12-20	73	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-434X		1437-434X		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
International Journal of Chemical Reactor Engineering	2194-5748	1542-6580	2003-05-01	1	1	2019-12-20	17	12	https://www.degruyter.com/openurl?genre=journal&issn=1542-6580		1542-6580		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
International Journal of Food Engineering	2194-5764	1556-3758	2005-01-01	1	1	2019-12-20	15	11-12	https://www.degruyter.com/openurl?genre=journal&issn=1556-3758		1556-3758		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Journal of Polymer Engineering	0334-6447	2191-0340	1984-01-01	4	1-2	2019-11-15	39	10	https://www.degruyter.com/openurl?genre=journal&issn=2191-0340		2191-0340		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Mammalia	0025-1461	1864-1547	1936-01-01	1	1	2019-11-20	83	6	https://www.degruyter.com/openurl?genre=journal&issn=1864-1547		1864-1547		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Physical Sciences Reviews	2365-6581	2365-659X	2016-01-20	1	1	2019-12-01	4	12	https://www.degruyter.com/openurl?genre=journal&issn=2365-659X		2365-659X		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Pure and Applied Chemistry	0033-4545	1365-3075	1960-04-20	1	1	2019-12-20	91	12	https://www.degruyter.com/openurl?genre=journal&issn=1365-3075		1365-3075		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Radiochimica Acta	0033-8230	2193-3405	1962-06-20		1/1	2019-12-15	107	12	https://www.degruyter.com/openurl?genre=journal&issn=2193-3405		2193-3405		fulltext		De Gruyter (O)	serial								P	JABCG19	current	2022-10-14
Reviews in Chemical Engineering	0167-8299	2191-0235	1982-01-01	1	Juni	2019-11-20	35	8	https://www.degruyter.com/openurl?genre=journal&issn=2191-0235		2191-0235		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Reviews in Inorganic Chemistry	0193-4929	2191-0227	1985-10-01	7	Okt	2019-12-15	39	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0227		2191-0227		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Reviews in the Neurosciences	0334-1763	2191-0200	1987-04-01	1	April	2019-12-20	30	8	https://www.degruyter.com/openurl?genre=journal&issn=2191-0200		2191-0200		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Statistical Applications in Genetics and Molecular Biology	2194-6302	1544-6115	2002-05-01	1	1	2019-12-15	18	6	https://www.degruyter.com/openurl?genre=journal&issn=1544-6115		1544-6115		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Tenside Surfactants Detergents	0932-3414	2195-8564	1966-01-20	3	1	2019-11-20	56	6	https://www.degruyter.com/openurl?genre=journal&issn=2195-8564		2195-8564		fulltext		De Gruyter	serial								P	JABCG19	current	2022-10-14
Zeitschrift für Kristallographie - Crystalline Materials 	2194-4946	2196-7105	1877-06-20		1	2019-12-15	234	11-12	https://www.degruyter.com/openurl?genre=journal&issn=2196-7105		2196-7105		fulltext		De Gruyter (O)	serial								P	JABCG19	current	2022-10-14
Zeitschrift für Physikalische Chemie	0942-9352	2196-7156	1883-01-15		11	2019-12-15	233	12	https://www.degruyter.com/openurl?genre=journal&issn=2196-7156		2196-7156		fulltext		De Gruyter (O)	serial								P	JABCG19	current	2022-10-14
