publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Altorientalische Forschungen	0232-8461	2196-6761	1975-06-20		3	2019-12-15	46	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext		De Gruyter (A)	serial								P	JACH19	current	2021-10-01
Antike und Abendland	0003-5696	1613-0421	1944-01-01		1	2019-11-15		65	https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Archiv für Papyrusforschung und verwandte Gebiete	0066-6459	1867-1551	1901-01-01	1	1	2019-12-20	65	2	https://www.degruyter.com/openurl?genre=journal&issn=1867-1551		1867-1551		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Archiv für Religionsgeschichte	1436-3038	1868-8888	1999-01-01		1	2019-02-20		21	https://www.degruyter.com/openurl?genre=journal&issn=1868-8888		1868-8888		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Asiatische Studien - Études Asiatiques	0004-4717	2235-5871	2014-02-28	68	1	2019-11-28	73	4	https://www.degruyter.com/openurl?genre=journal&issn=2235-5871		2235-5871		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Byzantinische Zeitschrift	0007-7704	1868-9027	1892-01-01	1	1	2019-11-20	112	4	https://www.degruyter.com/openurl?genre=journal&issn=1868-9027		1868-9027		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Chinese Archaeology	2160-5025	2160-5068	2001-10-10		1	2019-11-29		19	https://www.degruyter.com/openurl?genre=journal&issn=2160-5068		2160-5068		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Das Mittelalter	0949-0345	2196-6869	1996-06-15	1	1	2019-11-20	24	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6869		2196-6869		fulltext		Akademie Verlag	serial								P	JACH19	current	2021-10-01
Elenchos	0392-7342	2037-7177	2005-08-20	26	1	2019-12-20	40	2	https://www.degruyter.com/openurl?genre=journal&issn=2037-7177		2037-7177		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Etruscan and Italic Studies	2566-9095	2566-9109	1994-06-20		1	2019-12-20	22	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2566-9109		2566-9109		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Historische Zeitschrift	0018-2613	2196-680X	1859-06-20	1-2	1	2019-12-20	309	3	https://www.degruyter.com/openurl?genre=journal&issn=2196-680X		2196-680X		fulltext		De Gruyter Oldenbourg	serial								P	JACH19	current	2021-10-01
International Public History		2567-1111	2018-06-20	1	1	2019-10-20	2	2	https://www.degruyter.com/openurl?genre=journal&issn=2567-1111		2567-1111		fulltext		De Gruyter Oldenbourg	serial								P	JACH19	current	2021-10-01
Jahrbuch für die Geschichte Mittel- und Ostdeutschlands	0075-2614	2191-9909	2009-01-01		1	2019-11-15		65	https://www.degruyter.com/openurl?genre=journal&issn=2191-9909		2191-9909		fulltext		De Gruyter	serial								P	JACH19	current	2021-06-23
Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook	0075-2800	2196-6842	1960-06-15	1	1	2019-11-15	60	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6842		2196-6842		fulltext		Akademie Verlag	serial								P	JACH19	current	2021-10-01
Journal of Ancient History	2324-8106	2324-8114	2013-05-20	1	1	2019-12-18	7	2	https://www.degruyter.com/openurl?genre=journal&issn=2324-8114		2324-8114		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Journal of Ancient Near Eastern History	2328-9554	2328-9562	2014-02-28	1	1	2019-11-15	6	2	https://www.degruyter.com/openurl?genre=journal&issn=2328-9562		2328-9562		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Kadmos	0022-7498	1613-0723	1962-01-01	1	1	2019-12-20	58	1-2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0723		1613-0723		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Klio	0075-6334	2192-7669	1901-06-20		1	2019-11-28	101	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-7669		2192-7669		fulltext		De Gruyter (A)	serial								P	JACH19	current	2021-10-01
Militärgeschichtliche Zeitschrift	2193-2336	2196-6850	1967-06-15	1-2	1	2019-10-20	78	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6850		2196-6850		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	JACH19	current	2021-10-01
Millennium	1867-030X	1867-0318	2004-01-01	1	1	2019-11-15		16	https://www.degruyter.com/openurl?genre=journal&issn=1867-0318		1867-0318		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
Orientalistische Literaturzeitung	0030-5383	2196-6877	1898-06-20		1	2019-12-15	114	6	https://www.degruyter.com/openurl?genre=journal&issn=2196-6877		2196-6877		fulltext		De Gruyter (A)	serial								P	JACH19	current	2021-10-01
Philologus	0031-7985	2196-7008	1846-06-20		1	2019-11-28	163	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-7008		2196-7008		fulltext		De Gruyter (A)	serial								P	JACH19	current	2021-10-01
Praehistorische Zeitschrift 	0079-4848	1613-0804	1909-01-01	1	Jan	2019-12-15	94	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0804		1613-0804		fulltext		De Gruyter	serial								P	JACH19	current	2021-10-01
